DatasetName                                 Total nbr events                                 Generator                                 fragment                                 gridpack location
GluGluToHToZATo2L2B_MH-230p77_MA-37p10_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_230p77_37p10_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-230p77_MA-45p88_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_230p77_45p88_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-230p77_MA-56p73_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_230p77_56p73_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-230p77_MA-69p78_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_230p77_69p78_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-230p77_MA-85p09_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_230p77_85p09_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-240p00_MA-130p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_240p00_130p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-261p40_MA-102p99_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_261p40_102p99_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-261p40_MA-124p53_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_261p40_124p53_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-261p40_MA-150p50_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_261p40_150p50_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
GluGluToHToZATo2L2B_MH-261p40_MA-30p00_tb-1p50_TuneCP5_13TeV-madgraph-pythia8          30000          Madgraph5_aMCatNLO          Hadronizer_TuneCP5_13TeV_HToZATo2L2B_ggH_pythia8_PSweights_cff.py          /eos/cms/store/group/phys_higgs/HiggsExo/kjaffel/HToZATo2L2B_ggfusion_b-associatedproduction/waiting_for_submission_to_mcm/ggH/HToZATo2L2B_261p40_30p00_1p50_ggH_TuneCP5_13TeV_pythia8_slc7_amd64_gcc700_CMSSW_10_6_19_tarball.tar.xz
